                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3474,                 3.8449,                 4.4289,                0.00202,                0.60606,                0.00458,                0.00107,                 3.8158,                 4.4406,                 4.1591,                  8e-05,                  8e-05,                  8e-05
                      2,                 3.3693,                 3.8053,                 4.4146,                0.00207,                0.62121,                0.00709,                0.00146,                 3.8162,                 4.4373,                 4.1589,             0.00017822,             0.00017822,             0.00017822
                      3,                 3.4174,                  3.719,                 4.3746,                0.00207,                0.62121,                0.00545,                0.00145,                 3.8134,                 4.4398,                 4.1578,             0.00027446,             0.00027446,             0.00027446
                      4,                 3.4046,                 3.6846,                 4.2986,                0.00212,                0.63636,                0.00496,                0.00111,                 3.8131,                 4.4402,                 4.1569,             0.00036871,             0.00036871,             0.00036871
                      5,                 3.2802,                 3.5577,                 4.2524,                0.00212,                0.63636,                0.00544,                 0.0012,                  3.807,                 4.3952,                 4.1546,             0.00046099,             0.00046099,             0.00046099
                      6,                 3.2766,                 3.6698,                 4.1568,                0.00207,                0.62121,                0.00706,                 0.0017,                 3.8051,                 4.4312,                 4.1527,             0.00055129,             0.00055129,             0.00055129
                      7,                 3.2771,                 3.6455,                 4.1144,                0.00207,                0.62121,                0.00536,                0.00116,                  3.803,                 4.4058,                 4.1491,             0.00063961,             0.00063961,             0.00063961
                      8,                 2.9783,                 3.2601,                 4.0173,                0.00197,                0.59091,                0.00639,                0.00139,                 3.8072,                 4.3659,                 4.1389,             0.00072595,             0.00072595,             0.00072595
                      9,                 3.2119,                 3.4143,                 3.9885,                0.00187,                0.56061,                 0.0043,                0.00103,                 3.8241,                 4.2869,                 4.1087,              0.0008103,              0.0008103,              0.0008103
                     10,                 2.9333,                 3.3058,                 3.8336,                0.00197,                0.59091,                0.00472,                0.00099,                 3.8233,                 4.1154,                 4.0996,             0.00089268,             0.00089268,             0.00089268
                     11,                 2.6703,                 3.0544,                 3.6264,                0.00197,                0.59091,                0.00515,                0.00117,                 3.7964,                 4.1303,                 4.1052,             0.00097308,             0.00097308,             0.00097308
                     12,                 2.7836,                 3.1997,                 3.7721,                0.00207,                0.62121,                0.00476,                0.00099,                 3.8129,                 4.2619,                 4.1605,              0.0010515,              0.0010515,              0.0010515
                     13,                 2.7731,                 2.8147,                 3.6195,                0.00197,                0.59091,                0.00414,                0.00096,                 3.8427,                 4.3011,                 4.1916,              0.0011279,              0.0011279,              0.0011279
                     14,                 2.7252,                 2.8434,                 3.5182,                0.00197,                0.59091,                0.00477,                0.00106,                 3.8379,                  4.385,                 4.1929,              0.0012024,              0.0012024,              0.0012024
                     15,                 2.6091,                 2.7959,                 3.3426,                0.00192,                0.57576,                0.00472,                0.00104,                 3.8288,                  3.654,                 4.1969,              0.0012749,              0.0012749,              0.0012749
                     16,                  2.659,                 2.6603,                 3.3148,                0.00187,                0.56061,                0.00478,                0.00106,                 3.8102,                 3.5938,                  4.194,              0.0013454,              0.0013454,              0.0013454
                     17,                 2.5423,                 2.6779,                 3.3638,                0.00177,                 0.5303,                0.00478,                0.00103,                 3.7917,                 3.5293,                 4.1647,              0.0014139,              0.0014139,              0.0014139
                     18,                 2.6437,                 2.6184,                 3.3395,                0.00177,                 0.5303,                0.00466,                  0.001,                 3.7628,                 3.6089,                 4.1557,              0.0014804,              0.0014804,              0.0014804
                     19,                 2.7983,                 2.8152,                 3.4529,                0.00212,                0.63636,                0.00776,                0.00157,                 3.5322,                 3.5622,                 4.0169,               0.001545,               0.001545,               0.001545
                     20,                 2.6116,                 2.5315,                 3.2824,                0.11197,                0.43939,                0.11782,                 0.0274,                 2.9239,                 3.8185,                 3.6614,              0.0016076,              0.0016076,              0.0016076
                     21,                 2.5317,                 2.4768,                 3.1486,                0.20553,                0.43939,                0.19146,                0.05345,                 2.5486,                 8.6812,                 3.9134,               0.001604,               0.001604,               0.001604
                     22,                 2.5112,                 2.5158,                 3.2301,                0.25581,                0.48485,                0.25224,                0.07069,                 2.4345,                 9.9689,                 4.1469,               0.001604,               0.001604,               0.001604
                     23,                 2.6616,                 2.5855,                 3.1812,                0.26279,                0.57576,                0.31018,                0.10951,                 2.3792,                  6.947,                  4.506,              0.0015842,              0.0015842,              0.0015842
                     24,                 2.6064,                 2.5036,                 3.2131,                0.38959,                0.66667,                0.43213,                0.15154,                 2.3243,                 4.1985,                 4.1905,              0.0015644,              0.0015644,              0.0015644
                     25,                 2.5116,                 2.3967,                 3.1301,                0.24282,                0.83574,                0.48939,                0.17239,                 2.1506,                  7.753,                  4.222,              0.0015446,              0.0015446,              0.0015446
                     26,                 2.5824,                 2.3863,                 3.1958,                    0.4,                0.27273,                0.26346,                0.10977,                  2.154,                 13.948,                 4.3413,              0.0015248,              0.0015248,              0.0015248
