                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0234,                 3.5125,                 4.2283,                0.00333,                      1,                0.01088,                0.00431,                  2.451,                  3.897,                 4.1586,                  8e-05,                  8e-05,                  8e-05
                      2,                 3.0218,                 3.5392,                 4.1854,                0.00333,                      1,                0.01386,                0.00548,                 2.4454,                 3.8914,                  4.156,             0.00017822,             0.00017822,             0.00017822
                      3,                 2.9409,                 3.5186,                  4.189,                0.00333,                      1,                0.01668,                0.00628,                 2.4424,                  3.882,                 4.1474,             0.00027446,             0.00027446,             0.00027446
                      4,                  3.069,                 3.4416,                 4.1304,                0.00333,                      1,                0.01671,                0.00613,                 2.4309,                 3.8751,                 4.1369,             0.00036871,             0.00036871,             0.00036871
                      5,                 2.9399,                 3.3666,                 4.1011,                0.00333,                      1,                0.02256,                0.00793,                    2.4,                 3.8548,                 4.1116,             0.00046099,             0.00046099,             0.00046099
                      6,                 3.1024,                  3.235,                 4.0772,                0.00333,                      1,                0.02292,                0.00914,                 2.3678,                 3.8571,                 4.0832,             0.00055129,             0.00055129,             0.00055129
                      7,                 3.0027,                 3.2624,                 4.0018,                0.00333,                      1,                0.02988,                 0.0131,                 2.3085,                 3.9601,                 4.0107,             0.00063961,             0.00063961,             0.00063961
                      8,                 2.8747,                 3.1172,                 3.9242,                0.00333,                      1,                0.03056,                0.01175,                 2.2984,                 3.9657,                 3.9569,             0.00072595,             0.00072595,             0.00072595
                      9,                 3.0829,                 3.1177,                 3.8903,                0.00333,                      1,                0.03023,                0.01198,                 2.2702,                 3.9594,                 3.8135,              0.0008103,              0.0008103,              0.0008103
                     10,                 2.9274,                 3.1625,                 3.7887,                0.00333,                      1,                0.05569,                0.02428,                 2.2372,                 3.9206,                   3.62,             0.00089268,             0.00089268,             0.00089268
                     11,                 2.9329,                 3.0602,                 3.7318,                0.00333,                      1,                0.20457,                0.07799,                 2.2073,                 4.0937,                 3.3547,             0.00097308,             0.00097308,             0.00097308
                     12,                 2.8648,                  3.055,                 3.6692,                0.02107,                   0.96,                0.14684,                0.03541,                 2.5094,                 11.445,                 3.3698,              0.0010515,              0.0010515,              0.0010515
                     13,                 2.9371,                  2.992,                 3.6389,                0.02078,                0.94667,                0.09603,                0.02171,                 2.5762,                 13.531,                 3.4554,              0.0011279,              0.0011279,              0.0011279
                     14,                 2.9802,                 2.9354,                 3.5375,                0.02715,                0.94667,                0.05961,                0.01395,                 2.5522,                 25.007,                 4.0055,              0.0012024,              0.0012024,              0.0012024
                     15,                 2.8759,                 3.0021,                 3.3972,                 0.0494,                   0.96,                 0.0719,                0.01834,                 2.5297,                 21.227,                 3.8811,              0.0012749,              0.0012749,              0.0012749
                     16,                 2.7631,                 2.9904,                 3.4024,                0.06494,                0.85333,                0.08009,                0.02039,                 2.5208,                 18.793,                 3.5829,              0.0013454,              0.0013454,              0.0013454
                     17,                 2.8051,                 2.8956,                  3.428,                0.17391,                0.05333,                0.03832,                0.01135,                 2.6342,                    inf,                 6.4556,              0.0014139,              0.0014139,              0.0014139
                     18,                 2.9372,                 2.7996,                 3.5743,                0.01391,                0.89333,                0.04657,                0.01289,                 2.6071,                 153.13,                 5.1158,              0.0014804,              0.0014804,              0.0014804
                     19,                 2.7558,                 2.8083,                 3.3634,                0.01823,                   0.96,                0.26043,                0.06541,                 2.5183,                 88.844,                 4.1587,               0.001545,               0.001545,               0.001545
