                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 2.4623,                 2.6765,                 2.9732,                0.17714,                0.25888,                0.14346,                0.05917,                 2.7518,                 3.5019,                 3.3363,              0.0015446,              0.0015446,              0.0015446
                     26,                 2.3592,                 2.6083,                 3.0238,                0.25303,                0.30607,                0.17826,                0.07198,                 2.7152,                 2.9494,                 3.3489,              0.0015248,              0.0015248,              0.0015248
                     27,                 2.2649,                  2.571,                  2.983,                0.31256,                0.28934,                0.22295,                0.10602,                 2.5758,                 3.4797,                 3.2308,               0.001505,               0.001505,               0.001505
                     28,                 2.2944,                 2.7149,                 3.0397,                0.37227,                0.39086,                 0.3128,                0.13197,                 2.4814,                 4.1343,                 3.4365,              0.0014852,              0.0014852,              0.0014852
                     29,                 2.3057,                 2.5455,                 2.9787,                0.44946,                 0.4467,                0.39945,                0.16806,                 2.3761,                  3.629,                 3.4014,              0.0014654,              0.0014654,              0.0014654
                     30,                  2.342,                 2.5898,                 2.8612,                0.46087,                0.50761,                0.45337,                0.20918,                 2.2639,                 3.1913,                 3.1275,              0.0014456,              0.0014456,              0.0014456
                     31,                  2.194,                 2.5982,                 2.9419,                0.44904,                0.48731,                0.44549,                0.21146,                 2.1719,                 2.6486,                 2.9044,              0.0014258,              0.0014258,              0.0014258
                     32,                 2.3276,                 2.6122,                 3.0314,                 0.4416,                0.49377,                 0.4299,                0.19014,                 2.0992,                 2.4937,                 2.7386,               0.001406,               0.001406,               0.001406
                     33,                 2.2769,                 2.6022,                 2.8055,                0.49918,                0.49077,                0.47552,                 0.2314,                 2.1317,                 2.4502,                 2.7487,              0.0013862,              0.0013862,              0.0013862
                     34,                  2.081,                 2.4459,                 2.8063,                0.48051,                0.43147,                0.45198,                0.23451,                 2.0967,                 2.4217,                 2.7252,              0.0013664,              0.0013664,              0.0013664
                     35,                 2.1761,                 2.5874,                 2.8273,                0.48098,                0.47041,                0.47633,                0.25872,                 2.0482,                 2.3909,                 2.7167,              0.0013466,              0.0013466,              0.0013466
                     36,                 2.1882,                  2.509,                 2.7821,                0.54155,                0.52284,                0.55103,                0.31757,                 1.8986,                  2.181,                 2.5687,              0.0013268,              0.0013268,              0.0013268
                     37,                  2.115,                 2.3798,                 2.7153,                0.67768,                0.47716,                0.59034,                0.35515,                 1.8518,                 2.0373,                 2.5007,               0.001307,               0.001307,               0.001307
                     38,                 2.0726,                 2.3602,                 2.6599,                0.68546,                0.49781,                0.59414,                0.35412,                 1.8159,                 2.0161,                 2.4918,              0.0012872,              0.0012872,              0.0012872
                     39,                 2.0598,                 2.3681,                  2.735,                0.69974,                0.48503,                0.59187,                0.35405,                 1.8305,                 2.0181,                 2.5421,              0.0012674,              0.0012674,              0.0012674
                     40,                  1.942,                 2.3066,                 2.6643,                 0.6743,                0.57868,                0.64856,                0.36752,                 1.9512,                 2.0396,                 2.5822,              0.0012476,              0.0012476,              0.0012476
                     41,                  2.095,                 2.2895,                 2.7011,                0.75189,                0.61534,                0.66779,                0.38037,                 1.8629,                  2.264,                 2.5576,              0.0012278,              0.0012278,              0.0012278
                     42,                 2.0989,                 2.4442,                  2.699,                0.71881,                0.58376,                0.65683,                0.36108,                 1.9651,                  2.188,                 2.6632,               0.001208,               0.001208,               0.001208
                     43,                 2.0124,                 2.2147,                 2.6132,                0.65158,                0.60756,                0.65563,                0.33797,                 2.1338,                  2.103,                 2.8352,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.9653,                 2.2685,                  2.629,                0.72364,                0.62472,                0.68543,                0.37337,                 1.9837,                 1.9859,                 2.6224,              0.0011684,              0.0011684,              0.0011684
                     45,                  1.926,                 2.3454,                 2.5807,                 0.7127,                 0.6548,                0.68321,                0.38392,                 1.8858,                 1.8848,                 2.5222,              0.0011486,              0.0011486,              0.0011486
                     46,                  1.862,                 2.1772,                  2.506,                0.69203,                0.63877,                0.65996,                0.38304,                 1.8696,                 1.8408,                  2.505,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.9424,                 2.1564,                  2.551,                0.71229,                0.62944,                0.67275,                0.38937,                 1.8805,                 1.8897,                 2.5138,               0.001109,               0.001109,               0.001109
                     48,                 1.9294,                 2.1165,                 2.5821,                0.70314,                0.63959,                0.72142,                0.43139,                 1.6025,                 1.7862,                 2.2963,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.8344,                 2.0838,                 2.4635,                0.68978,                0.66497,                0.73928,                0.43268,                 1.5901,                 1.7749,                 2.2794,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.7708,                 2.0018,                 2.4613,                0.67633,                0.68945,                0.73233,                0.42638,                 1.5581,                 1.7572,                 2.2231,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.8761,                 2.1235,                 2.4259,                0.66958,                0.67891,                0.70952,                  0.435,                  1.499,                 1.7379,                  2.157,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.8627,                 2.1558,                 2.4409,                0.73084,                0.71673,                0.77695,                0.49575,                 1.3755,                 1.6787,                  2.052,                0.00101,                0.00101,                0.00101
                     53,                 1.6913,                  1.985,                 2.3492,                0.75684,                0.72081,                0.78915,                0.50344,                 1.3578,                 1.7721,                 2.0694,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.6802,                 1.8869,                 2.3436,                 0.8285,                0.68661,                0.79843,                0.50297,                 1.3837,                 1.7264,                 2.0748,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.7245,                 2.0452,                 2.3672,                0.79953,                0.72081,                0.78482,                0.47548,                 1.4667,                 1.6857,                 2.1276,              0.0009506,              0.0009506,              0.0009506
                     56,                  1.715,                 1.9868,                 2.4046,                0.77091,                0.75158,                0.79614,                0.45423,                  1.492,                 1.6309,                 2.1563,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.7458,                 2.0303,                 2.3735,                0.79169,                0.73312,                0.80085,                0.46146,                 1.4414,                 1.5899,                 2.1222,               0.000911,               0.000911,               0.000911
                     58,                 1.6676,                  1.939,                 2.3379,                0.82185,                0.72589,                0.79675,                0.46994,                 1.4068,                 1.5847,                 2.0973,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.8025,                 1.9635,                  2.353,                0.81009,                0.73604,                 0.8064,                0.48088,                 1.3818,                 1.5429,                 2.0423,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.7052,                 1.9405,                 2.2591,                0.80959,                0.72589,                0.81383,                0.50115,                 1.3341,                 1.5068,                 1.9673,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.7287,                 1.8202,                 2.2806,                0.80492,                0.75127,                0.81732,                0.53598,                 1.2511,                  1.419,                 1.9267,              0.0008318,              0.0008318,              0.0008318
                     62,                  1.663,                 1.9423,                 2.2945,                 0.7801,                0.73604,                0.80023,                0.53646,                 1.2644,                 1.4406,                 1.9599,               0.000812,               0.000812,               0.000812
                     63,                 1.6118,                 1.8091,                   2.22,                0.73666,                0.73096,                0.77689,                0.50668,                 1.2937,                  1.519,                 1.9952,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.6164,                 1.7877,                 2.1907,                0.68489,                0.69543,                0.69725,                0.43778,                 1.2711,                 1.6106,                 1.9969,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.5353,                 1.7257,                 2.2045,                0.61185,                0.73604,                0.70805,                0.43704,                 1.2277,                  1.642,                 1.9831,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.4321,                 1.6763,                 2.1106,                 0.6751,                0.72589,                0.77234,                0.47929,                 1.2325,                 1.5928,                 1.9605,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.6125,                 1.8298,                 2.2694,                0.74239,                0.74619,                0.80207,                 0.5095,                 1.2086,                 1.5131,                 1.9157,               0.000713,               0.000713,               0.000713
                     68,                 1.4535,                  1.626,                 2.1504,                0.81676,                0.81218,                0.86085,                0.57612,                 1.1691,                 1.4601,                 1.8657,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.5271,                   1.63,                 2.1909,                0.83859,                0.79695,                0.87264,                0.60727,                 1.1254,                 1.4099,                 1.8576,              0.0006734,              0.0006734,              0.0006734
                     70,                  1.469,                 1.7148,                 2.1591,                0.84319,                0.78173,                0.88121,                0.61651,                 1.1501,                 1.3609,                 1.8569,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.5484,                 1.6439,                 2.1714,                0.84373,                0.76741,                0.87071,                0.61659,                 1.1657,                 1.3382,                 1.8485,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.5559,                 1.7681,                 2.1682,                 0.8468,                0.75755,                0.84923,                0.59961,                 1.1851,                 1.3414,                 1.8481,               0.000614,               0.000614,               0.000614
                     73,                 1.4765,                 1.7391,                 2.0946,                0.82513,                0.72081,                0.84147,                0.57706,                 1.2122,                 1.3558,                 1.8995,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.4369,                 1.5987,                   2.08,                0.79536,                0.70051,                0.82761,                0.56015,                 1.2275,                 1.3782,                 1.9211,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.5003,                 1.6517,                 2.1307,                0.83642,                0.70051,                 0.8378,                0.56023,                 1.1987,                 1.4082,                 1.9159,              0.0005546,              0.0005546,              0.0005546
                     76,                  1.487,                 1.6175,                 2.0812,                0.77957,                0.75399,                0.85422,                0.56985,                 1.1456,                 1.4357,                 1.8785,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.5624,                 1.6276,                 2.1538,                0.80767,                0.78871,                0.87024,                0.59276,                 1.1301,                 1.4493,                 1.8562,               0.000515,               0.000515,               0.000515
                     78,                 1.3868,                 1.5064,                 2.0228,                0.79355,                0.83903,                0.88521,                0.60321,                 1.1145,                 1.4132,                 1.8334,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.4735,                 1.5857,                 2.0848,                0.79814,                0.77157,                0.87708,                0.60138,                 1.1209,                 1.3751,                 1.8439,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.3768,                 1.4667,                 2.0501,                0.85473,                 0.7868,                0.87409,                0.56143,                  1.155,                 1.3242,                 1.8909,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.3819,                 1.4692,                 1.9979,                 0.8182,                0.79695,                0.86499,                0.54079,                 1.2199,                 1.3207,                 1.9223,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.2356,                 1.4652,                 2.0115,                0.80657,                0.78317,                0.86268,                0.53351,                 1.2429,                 1.3128,                 1.9249,               0.000416,               0.000416,               0.000416
                     83,                 1.4539,                 1.6285,                 2.1442,                0.81613,                0.80203,                0.87237,                0.55363,                 1.1947,                 1.2948,                  1.875,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.2789,                 1.4595,                 1.9441,                0.84281,                0.84373,                0.89865,                0.58483,                 1.1411,                 1.2608,                 1.8297,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.2828,                 1.5431,                 1.9437,                0.87659,                0.82234,                  0.898,                0.59642,                 1.1133,                 1.2488,                 1.8122,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.3486,                  1.425,                 2.0124,                0.87126,                0.82234,                0.90412,                 0.6058,                 1.0886,                 1.2191,                 1.7956,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.2731,                  1.375,                 1.9795,                0.85039,                0.83672,                0.90387,                0.61994,                 1.0726,                 1.1737,                 1.7856,               0.000317,               0.000317,               0.000317
                     88,                 1.2381,                 1.4024,                 1.9783,                0.83037,                0.82234,                0.90074,                0.64268,                 1.0148,                 1.1618,                 1.7278,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.4702,                 1.6427,                 2.0865,                0.85862,                0.80156,                0.90626,                0.65925,                0.98861,                 1.1575,                 1.7055,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.2615,                 1.4017,                 1.9739,                0.89285,                0.80367,                0.91041,                0.66273,                0.98191,                 1.1593,                 1.7012,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.1483,                 1.6848,                 1.9379,                0.84302,                0.84508,                 0.9091,                0.65514,                0.99729,                 1.1908,                 1.7206,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.0824,                 1.5528,                 1.8674,                 0.9104,                0.82525,                0.91224,                 0.6526,                 1.0222,                 1.2367,                  1.756,               0.000218,               0.000218,               0.000218
                     93,                 1.0735,                 1.5324,                  1.884,                0.89467,                0.81922,                0.91068,                0.65221,                 1.0335,                 1.2419,                 1.7675,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.0283,                 1.3842,                 1.8183,                0.88482,                0.82234,                0.91571,                0.66431,                 1.0241,                 1.2406,                 1.7682,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.0663,                 1.4316,                 1.8251,                0.87174,                0.84264,                0.91717,                0.67102,                 1.0009,                 1.2216,                  1.752,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.2045,                 1.5469,                 1.9791,                0.89157,                0.83478,                0.92077,                0.67101,                0.99122,                 1.1808,                 1.7414,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.1289,                 1.3691,                 1.8609,                0.88669,                 0.8342,                0.91827,                0.66865,                0.98578,                 1.1748,                 1.7374,               0.000119,               0.000119,               0.000119
                     98,                 1.1188,                 1.4353,                 1.9496,                0.85296,                 0.8731,                0.91734,                0.66665,                0.97689,                 1.1727,                 1.7362,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.1172,                 1.3324,                 1.9327,                0.85096,                 0.8695,                0.91531,                0.66336,                0.97384,                 1.1631,                 1.7323,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.98031,                 1.2874,                 1.8117,                0.85771,                0.85677,                 0.9157,                0.66235,                0.96523,                  1.149,                 1.7231,               5.96e-05,               5.96e-05,               5.96e-05
