                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1019,                 3.3602,                 4.2258,                0.00924,                0.92893,                0.05117,                0.02526,                 3.0206,                 3.1828,                 4.1588,                  8e-05,                  8e-05,                  8e-05
                      2,                 3.0091,                 3.2828,                 4.2215,                0.00934,                0.93909,                0.05571,                0.02332,                  3.021,                 3.1758,                 4.1578,             0.00017822,             0.00017822,             0.00017822
                      3,                 3.0593,                 3.2192,                 4.1873,                0.00939,                0.94416,                0.04783,                0.02426,                 3.0202,                 3.1627,                 4.1544,             0.00027446,             0.00027446,             0.00027446
                      4,                  3.138,                 3.2234,                 4.1454,                0.00944,                0.94924,                0.04833,                0.02527,                 3.0178,                 3.1493,                 4.1496,             0.00036871,             0.00036871,             0.00036871
                      5,                 3.0017,                 3.1257,                 4.1148,                0.00939,                0.94416,                0.05316,                0.02469,                 3.0074,                 3.1642,                 4.1384,             0.00046099,             0.00046099,             0.00046099
                      6,                 3.1289,                 3.0523,                 4.0906,                0.00929,                0.93401,                0.10283,                0.03119,                 2.9931,                 3.1371,                  4.126,             0.00055129,             0.00055129,             0.00055129
                      7,                 3.1185,                 2.9718,                 4.0225,                0.00934,                0.93909,                0.05785,                0.02622,                  2.974,                 3.1047,                 4.1007,             0.00063961,             0.00063961,             0.00063961
                      8,                 3.0382,                 2.9312,                 3.9569,                0.00924,                0.92893,                0.06808,                0.02854,                 2.9394,                 3.0978,                 4.0651,             0.00072595,             0.00072595,             0.00072595
                      9,                 3.0842,                 2.8902,                 3.8936,                0.00934,                0.93909,                0.06916,                0.02904,                 2.8624,                 3.0579,                 3.9593,              0.0008103,              0.0008103,              0.0008103
                     10,                 2.9283,                 2.9345,                 3.8453,                0.00879,                0.88325,                0.08489,                0.03288,                 2.6718,                 2.9517,                 3.6508,             0.00089268,             0.00089268,             0.00089268
                     11,                  2.999,                 3.0119,                 3.8076,                0.00879,                0.88325,                0.13856,                0.05723,                 2.6133,                 2.9573,                 3.5196,             0.00097308,             0.00097308,             0.00097308
                     12,                 2.9221,                 2.9362,                 3.6817,                0.03787,                0.83249,                0.20373,                0.07301,                 2.6149,                 3.2091,                 3.4612,              0.0010515,              0.0010515,              0.0010515
                     13,                  2.781,                 2.7651,                 3.5664,                0.04672,                0.81726,                0.22036,                0.08722,                 2.6547,                 4.9236,                 3.5184,              0.0011279,              0.0011279,              0.0011279
                     14,                 2.6974,                 2.7327,                 3.5007,                 0.0557,                0.82234,                0.24509,                0.10509,                 2.6798,                 9.3836,                 3.3816,              0.0012024,              0.0012024,              0.0012024
                     15,                 2.6773,                 2.7851,                 3.4539,                 0.0469,                0.84772,                0.24897,                0.09663,                 2.6563,                 23.589,                 3.8497,              0.0012749,              0.0012749,              0.0012749
                     16,                 2.5475,                 2.8863,                 3.4201,                 0.0493,                0.84772,                0.26671,                0.11063,                 2.6628,                 19.527,                 3.7887,              0.0013454,              0.0013454,              0.0013454
                     17,                 2.5742,                 2.7606,                 3.3777,                  0.025,                0.91371,                0.26879,                0.11679,                 2.5942,                 2.6991,                 3.2542,              0.0014139,              0.0014139,              0.0014139
                     18,                 2.4866,                 2.6444,                 3.2495,                0.05057,                0.85279,                 0.2422,                0.09997,                  2.612,                 3.5152,                 3.2383,              0.0014804,              0.0014804,              0.0014804
                     19,                 2.4898,                 2.6577,                 3.2969,                0.04837,                0.83756,                0.22952,                0.09555,                 2.6488,                 4.0453,                 3.2634,               0.001545,               0.001545,               0.001545
                     20,                 2.5482,                 2.7456,                 3.2881,                0.06623,                0.81726,                 0.2999,                0.12125,                 2.7882,                 3.7988,                 3.4856,              0.0016076,              0.0016076,              0.0016076
                     21,                 2.4136,                 2.6623,                 3.1954,                0.09104,                0.78173,                0.28019,                 0.1128,                 2.7825,                 3.7225,                 3.4751,               0.001604,               0.001604,               0.001604
                     22,                 2.4965,                 2.6971,                 3.1524,                0.08014,                0.73604,                0.24917,                0.09923,                 2.8981,                 3.4294,                  3.631,               0.001604,               0.001604,               0.001604
                     23,                  2.422,                 2.6717,                 3.0982,                0.10384,                0.61421,                0.12916,                0.05151,                 2.8325,                 4.0343,                 3.4637,              0.0015842,              0.0015842,              0.0015842
                     24,                 2.4879,                 2.7005,                  3.002,                0.13008,                0.25381,                0.12515,                0.05457,                 2.7761,                 4.1096,                 3.3516,              0.0015644,              0.0015644,              0.0015644
