                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5736,                 3.9277,                 4.3476,                0.00202,                0.60606,                0.00458,                0.00107,                  3.816,                 4.4403,                 4.1591,                  8e-05,                  8e-05,                  8e-05
                      2,                 3.6181,                 3.9796,                 4.3562,                0.00202,                0.60606,                0.00612,                0.00131,                  3.817,                 4.4377,                 4.1593,             0.00017822,             0.00017822,             0.00017822
                      3,                 3.2193,                 3.6692,                 4.3509,                0.00202,                0.60606,                0.00552,                0.00121,                 3.8137,                 4.4376,                 4.1584,             0.00027446,             0.00027446,             0.00027446
                      4,                 3.3751,                  3.673,                 4.2743,                0.00202,                0.60606,                0.00577,                0.00138,                 3.8125,                  4.437,                 4.1574,             0.00036871,             0.00036871,             0.00036871
                      5,                 3.5343,                 3.6271,                 4.2054,                0.00207,                0.62121,                0.00646,                0.00149,                 3.8072,                 4.4306,                 4.1543,             0.00046099,             0.00046099,             0.00046099
                      6,                 3.2487,                 3.3754,                 4.1446,                0.00202,                0.60606,                0.01158,                 0.0031,                 3.8028,                 4.4226,                 4.1502,             0.00055129,             0.00055129,             0.00055129
                      7,                  3.224,                  3.661,                 4.1004,                0.00202,                0.60606,                0.00453,                0.00097,                 3.8008,                 4.3994,                 4.1415,             0.00063961,             0.00063961,             0.00063961
                      8,                 3.0934,                 3.4718,                 3.9993,                0.00212,                0.63636,                0.00513,                0.00105,                 3.8035,                 4.4001,                 4.1384,             0.00072595,             0.00072595,             0.00072595
                      9,                 3.1811,                 3.4115,                 3.9691,                0.00212,                0.63636,                0.00469,                0.00103,                 3.8167,                 4.2674,                 4.1455,              0.0008103,              0.0008103,              0.0008103
                     10,                 2.8862,                 3.2086,                 3.8351,                0.00202,                0.60606,                0.00448,                0.00095,                  3.845,                 4.2961,                 4.1725,             0.00089268,             0.00089268,             0.00089268
                     11,                 3.0655,                 3.1081,                 3.8273,                0.00202,                0.60606,                0.00473,                0.00098,                 3.8517,                 4.3236,                 4.1763,             0.00097308,             0.00097308,             0.00097308
                     12,                 2.8395,                 3.2054,                 3.6763,                0.00192,                0.57576,                0.00448,                0.00096,                  3.862,                 4.3648,                 4.1865,              0.0010515,              0.0010515,              0.0010515
                     13,                 2.8577,                 3.0952,                 3.6412,                0.00197,                0.59091,                0.00501,                0.00102,                 3.9123,                 4.4505,                 4.2289,              0.0011279,              0.0011279,              0.0011279
                     14,                 2.8046,                 2.9985,                 3.5511,                0.00197,                0.59091,                0.00366,                 0.0008,                 3.9254,                 3.8697,                 4.2559,              0.0012024,              0.0012024,              0.0012024
                     15,                 2.8019,                 2.9049,                 3.6044,                0.00182,                0.54545,                0.00277,                0.00067,                 3.7489,                 4.2797,                 4.1513,              0.0012749,              0.0012749,              0.0012749
                     16,                 2.6737,                 2.8646,                 3.4797,                0.00177,                 0.5303,                0.00382,                0.00097,                 3.6455,                 3.8549,                 4.1293,              0.0013454,              0.0013454,              0.0013454
                     17,                 2.9025,                  2.875,                 3.4031,                0.00182,                0.54545,                0.00929,                0.00236,                 3.4676,                 3.6141,                 4.0833,              0.0014139,              0.0014139,              0.0014139
                     18,                  2.478,                 2.6499,                   3.28,                0.00227,                0.68182,                0.06181,                0.01168,                 3.3852,                 3.6242,                 3.9416,              0.0014804,              0.0014804,              0.0014804
                     19,                 2.7474,                  2.668,                 3.3502,                0.00283,                0.84848,                0.12307,                0.02108,                  3.192,                 3.5842,                 3.5779,               0.001545,               0.001545,               0.001545
                     20,                 2.5069,                 2.6352,                 3.2872,                0.10488,                0.28788,                 0.0553,                0.01284,                 3.0818,                 4.4022,                 4.0366,              0.0016076,              0.0016076,              0.0016076
                     21,                 2.6631,                 2.6003,                 3.3139,                0.07568,                0.28788,                 0.0695,                0.01774,                 2.9432,                 3.4556,                  4.113,               0.001604,               0.001604,               0.001604
                     22,                 2.6253,                 2.5455,                 3.2612,                0.19561,                0.19697,                0.11364,                0.02707,                 2.8863,                 2.9137,                 3.7492,               0.001604,               0.001604,               0.001604
                     23,                 2.4498,                 2.5969,                 3.1402,                0.15955,                0.28788,                0.17073,                0.04966,                 2.8501,                  2.759,                 3.5828,              0.0015842,              0.0015842,              0.0015842
                     24,                 2.6484,                 2.4196,                 3.1696,                0.28279,                0.23901,                0.17782,                0.07455,                 3.2283,                  3.835,                 4.3181,              0.0015644,              0.0015644,              0.0015644
                     25,                 2.6275,                 2.4905,                 3.1191,                0.28333,                0.25758,                0.13759,                0.05025,                 3.0215,                 22.632,                 5.9818,              0.0015446,              0.0015446,              0.0015446
                     26,                 2.5735,                 2.4622,                 3.1717,                    0.5,                0.18182,                0.25543,                0.08079,                 2.6333,                 16.777,                  5.237,              0.0015248,              0.0015248,              0.0015248
                     27,                 2.5409,                 2.5726,                 3.1564,                0.27412,                0.65152,                0.39366,                0.14378,                 2.2582,                 8.1232,                 4.3561,               0.001505,               0.001505,               0.001505
                     28,                 2.4377,                 2.3243,                 3.0293,                0.47588,                0.56061,                 0.4681,                0.17232,                  2.184,                 4.9971,                 3.3822,              0.0014852,              0.0014852,              0.0014852
                     29,                 2.3565,                 2.4763,                 3.0098,                0.19244,                 0.5303,                0.23044,                0.05893,                 2.4543,                 8.1096,                 3.2794,              0.0014654,              0.0014654,              0.0014654
                     30,                 2.6925,                 2.3826,                 3.1506,                0.30639,                0.36364,                0.28702,                0.06967,                 2.5559,                 4.8245,                 3.3856,              0.0014456,              0.0014456,              0.0014456
                     31,                 2.4966,                  2.251,                  3.098,                0.45346,                0.30303,                0.32016,                 0.0938,                 2.6083,                 4.0736,                 3.3128,              0.0014258,              0.0014258,              0.0014258
                     32,                  2.638,                 2.4063,                 3.1413,                 0.1251,                0.48485,                0.30183,                0.08457,                 2.8569,                 13.578,                 3.8327,               0.001406,               0.001406,               0.001406
                     33,                 2.5104,                 2.4198,                 2.9814,                0.32308,                0.31818,                0.21443,                0.04756,                 3.1603,                 33.052,                  4.579,              0.0013862,              0.0013862,              0.0013862
                     34,                  2.747,                  2.615,                 3.1809,                0.27907,                0.18182,                0.17303,                0.03896,                 3.1181,                  41.72,                   4.36,              0.0013664,              0.0013664,              0.0013664
                     35,                 2.4051,                 2.2773,                 2.9794,                0.09169,                0.84848,                0.38425,                0.08266,                 3.0837,                 31.797,                 3.7639,              0.0013466,              0.0013466,              0.0013466
                     36,                 2.4535,                  2.262,                 2.9654,                0.07031,                0.69697,                 0.1465,                0.02657,                 3.2601,                 33.118,                 3.9273,              0.0013268,              0.0013268,              0.0013268
                     37,                  2.386,                 2.3523,                 3.0317,                0.08934,                0.83333,                0.43955,                0.09001,                 2.9419,                 31.428,                 4.0537,               0.001307,               0.001307,               0.001307
                     38,                 2.3553,                  2.104,                 2.9983,                0.07089,                0.80303,                0.28661,                0.05747,                 2.9801,                 38.156,                 4.3234,              0.0012872,              0.0012872,              0.0012872
                     39,                 2.4847,                 2.2791,                 2.9994,                0.05999,                0.69697,                0.26565,                0.05653,                 3.0928,                 41.545,                 4.2945,              0.0012674,              0.0012674,              0.0012674
                     40,                 2.2967,                 2.1181,                 2.8771,                0.03671,                0.60606,                0.14896,                0.03114,                 3.2615,                 51.151,                 4.0394,              0.0012476,              0.0012476,              0.0012476
                     41,                 2.3889,                 2.3311,                  2.991,                0.09097,                0.66667,                0.31889,                0.09213,                 2.8058,                 26.849,                 3.6089,              0.0012278,              0.0012278,              0.0012278
                     42,                 2.2533,                 2.2458,                 2.9378,                0.19919,                0.63636,                0.42983,                0.16009,                  2.374,                 10.563,                 3.2422,               0.001208,               0.001208,               0.001208
                     43,                 2.3363,                 2.1489,                 2.9041,                0.27776,                0.56061,                0.47893,                0.18134,                 2.1729,                 7.1741,                 2.9569,              0.0011882,              0.0011882,              0.0011882
                     44,                 2.3701,                 2.3913,                 3.0846,                0.52612,                0.51515,                0.52488,                0.17184,                 2.1006,                 3.6968,                 2.7155,              0.0011684,              0.0011684,              0.0011684
                     45,                 2.3886,                 2.0496,                 2.8983,                0.51137,                0.57576,                0.48794,                0.15472,                 2.2497,                 2.8936,                 2.8058,              0.0011486,              0.0011486,              0.0011486
                     46,                  2.211,                 1.8856,                 2.8364,                0.50541,                0.60606,                 0.5709,                0.18881,                 2.3508,                 2.0893,                 2.7989,              0.0011288,              0.0011288,              0.0011288
                     47,                 2.4225,                 2.0356,                  3.026,                0.55826,                0.71212,                0.64149,                0.26167,                 2.2742,                 1.9321,                 2.7043,               0.001109,               0.001109,               0.001109
                     48,                 2.3586,                 2.0807,                 2.9981,                 0.6395,                0.59091,                0.69287,                0.25353,                   2.09,                  1.801,                 2.6086,              0.0010892,              0.0010892,              0.0010892
                     49,                 2.3023,                 2.0699,                 2.8286,                0.45287,                0.80303,                0.61957,                0.16156,                 2.2779,                 1.9222,                 2.7378,              0.0010694,              0.0010694,              0.0010694
                     50,                 2.2704,                 2.0709,                 2.8939,                0.40152,                0.71212,                0.54173,                0.15106,                 2.2891,                 2.2155,                 2.7583,              0.0010496,              0.0010496,              0.0010496
                     51,                 2.1426,                 2.0457,                 2.7609,                0.59375,                0.45455,                0.59716,                0.20943,                 2.1671,                 2.2689,                 2.6257,              0.0010298,              0.0010298,              0.0010298
                     52,                 2.3334,                 2.0287,                 2.8692,                0.50199,                0.40909,                0.46573,                0.18883,                 2.2797,                 2.2777,                 2.7381,                0.00101,                0.00101,                0.00101
                     53,                 2.4643,                 1.9882,                 2.8678,                  0.557,                0.49538,                0.58024,                0.24621,                 2.2289,                 2.0259,                 2.7461,              0.0009902,              0.0009902,              0.0009902
                     54,                 2.1886,                 2.2094,                 2.9094,                0.60711,                0.77263,                0.69743,                0.32981,                 2.0854,                 1.9457,                 2.6178,              0.0009704,              0.0009704,              0.0009704
                     55,                 2.2016,                 1.8788,                 2.8066,                0.80841,                 0.3837,                0.62761,                0.31876,                   1.89,                 2.2506,                 2.3975,              0.0009506,              0.0009506,              0.0009506
                     56,                 2.3097,                 1.9228,                 2.7334,                0.44412,                0.69697,                 0.5968,                0.24237,                 2.1164,                 1.9036,                 2.6051,              0.0009308,              0.0009308,              0.0009308
                     57,                 2.2893,                 1.8333,                 2.8146,                0.36907,                0.43939,                0.36621,                0.15638,                 2.2493,                 1.9583,                 2.8182,               0.000911,               0.000911,               0.000911
                     58,                 2.1786,                 1.8512,                  2.724,                0.47167,                0.39229,                0.35994,                0.16478,                 2.3168,                 2.1468,                 2.8859,              0.0008912,              0.0008912,              0.0008912
                     59,                 2.2237,                 1.8505,                 2.6981,                 0.4609,                0.51515,                0.49912,                0.22171,                 2.2642,                 1.9765,                 2.7139,              0.0008714,              0.0008714,              0.0008714
                     60,                 2.0726,                 1.8899,                 2.7622,                0.64924,                0.58898,                0.71156,                 0.3287,                 1.9643,                 1.8458,                 2.4342,              0.0008516,              0.0008516,              0.0008516
                     61,                 2.0066,                 1.7718,                 2.7221,                0.65392,                0.66667,                0.76384,                0.36517,                 1.9726,                 1.9259,                 2.4492,              0.0008318,              0.0008318,              0.0008318
                     62,                 2.0961,                  2.093,                 2.6959,                 0.8567,                0.59091,                0.79576,                0.37834,                  1.961,                 1.9115,                 2.4656,               0.000812,               0.000812,               0.000812
                     63,                 2.1453,                 1.7626,                 2.7087,                0.84119,                0.63636,                0.82604,                0.40657,                 1.9212,                 1.6235,                 2.4439,              0.0007922,              0.0007922,              0.0007922
                     64,                 2.0817,                 1.7762,                 2.7418,                0.77243,                0.80303,                0.84967,                0.35015,                 2.0291,                 1.7215,                 2.5881,              0.0007724,              0.0007724,              0.0007724
                     65,                 2.2383,                 1.8339,                 2.6736,                0.71311,                0.82861,                0.82081,                0.31187,                 2.1263,                 1.6453,                 2.6275,              0.0007526,              0.0007526,              0.0007526
                     66,                 2.0705,                 1.7339,                 2.6902,                0.76561,                0.75758,                0.86431,                 0.3396,                 2.1265,                 1.6396,                  2.631,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.9817,                 1.7204,                 2.5795,                0.75727,                0.74242,                0.84485,                0.35791,                 2.0806,                 1.7229,                 2.6307,               0.000713,               0.000713,               0.000713
                     68,                 2.1618,                 2.0714,                 2.7738,                0.75161,                0.63636,                0.76531,                 0.3809,                 1.9759,                 1.7532,                 2.5006,              0.0006932,              0.0006932,              0.0006932
                     69,                  2.023,                 1.7552,                 2.5657,                0.64898,                0.77273,                0.78511,                 0.4112,                  1.863,                 1.7325,                 2.4032,              0.0006734,              0.0006734,              0.0006734
                     70,                 2.0277,                  1.888,                 2.6403,                0.67253,                0.78788,                0.81569,                0.42983,                 1.7996,                 1.6661,                 2.3507,              0.0006536,              0.0006536,              0.0006536
                     71,                 2.0176,                 1.7595,                 2.6094,                0.69209,                0.81736,                0.84489,                0.41377,                 1.8113,                 1.6068,                 2.3598,              0.0006338,              0.0006338,              0.0006338
                     72,                 2.0795,                 1.7502,                 2.6088,                0.72954,                0.78788,                0.87201,                0.42134,                 1.9655,                 1.7416,                 2.4799,               0.000614,               0.000614,               0.000614
                     73,                 2.0305,                 1.7469,                  2.567,                0.83712,                0.77273,                0.90005,                0.42707,                 2.0557,                 1.8378,                 2.5491,              0.0005942,              0.0005942,              0.0005942
